phase,experiment,contrast,effect,direction_count,p_exact,status
existence,Transformer,target_vs_nat_d025,-0.0058272831141948,7/8,0.0078125,PASS
existence,Transformer,target_vs_wrong_d025,-0.0375864457339049,8/8,0.00390625,PASS
existence,Transformer,near_vs_far_interaction,-0.0445404084399343,8/8,0.00390625,PASS
existence,GRU,target_vs_nat_d025,-0.007285,8/8,0.00390625,PASS
existence,GRU,target_vs_wrong_d025,-0.026712,8/8,0.00390625,PASS
existence,GRU,near_vs_far_interaction,-0.00423,5/8,0.230469,FAIL
signed_harness,calibration_1000_1007,positive_control_target25,-0.0051303546875715,"beneficial=8,harmful=0",0.00390625,PASS
signed_harness,calibration_1000_1007,negative_control_anti25,0.0103723030537367,"beneficial=1,harmful=7",0.0234375,PASS
signed_harness,replication_1200_1207,positive_control_target25,-0.0046991746872663,"beneficial=8,harmful=0",0.00390625,PASS
signed_harness,replication_1200_1207,negative_control_anti25,0.0184442542493342,"beneficial=1,harmful=7",0.0078125,PASS
signed_harness,calibration_1000_1007,neutral_metamorphic_A_nat_repeat,0.0,"beneficial=0,harmful=0",,PASS
performance_aligned,base-head cohort A,target25_minus_A_nat,-5.341000227255526,5/5,0.03125,PASS
performance_aligned,base-head cohort A,wrong25_minus_A_nat,2.096713487234097,5/5,0.03125,PASS
performance_aligned,base-head cohort A,target25_minus_wrong25,-6.946701174371808,5/5,0.03125,PASS
performance_aligned,base-head replication,target25_minus_A_nat,-4.897378948656945,5/5,0.03125,PASS
performance_aligned,base-head replication,wrong25_minus_A_nat,1.6007049040439916,5/5,0.03125,PASS
performance_aligned,base-head replication,target25_minus_wrong25,-6.229016224682005,5/5,0.03125,PASS
performance_aligned,fresh-head cohort A,target25_minus_A_nat,-0.4101696091537718,3/5,0.1875,FAIL
performance_aligned,fresh-head cohort A,wrong25_minus_A_nat,0.8817211570819772,4/5,0.0625,FAIL
performance_aligned,fresh-head cohort A,target25_minus_wrong25,-1.2984975050248473,5/5,0.03125,PASS
performance_aligned,fresh-head replication,target25_minus_wrong25,0.9076101197236816,1/5,0.90625,FAIL
performance_aligned,fresh-head replication,wrong25_minus_A_nat,-0.5823666684666946,2/5,0.75,FAIL
performance_aligned,fresh-head replication,target25_minus_A_nat,0.2695090663015989,2/5,0.65625,FAIL
decoder_alignment,seed4200,rho1_target_minus_nat,-5.892889649386657,5/5,,summary
decoder_alignment,seed4200,rho0.5_target_minus_nat,-3.3559038339050566,5/5,,summary
decoder_alignment,seed4200,rho0.25_target_minus_nat,-1.859113116626841,5/5,,summary
decoder_alignment,seed4200,rho0_target_minus_nat,0.0014401592396687,2/5,,summary
decoder_alignment,family exact p=0.03125,linear_slope,-5.808531707792241,5/5,,summary
decoder_alignment,fresh seed4300,rho0.25_rep_target_minus_nat,-2.0725287176910867,5/5,,summary
coordinate_rotation,seed4900,identity_minus_rotated,-2.6807566135977807,5/5,,cohort
coordinate_rotation,seed5000,identity_minus_rotated,-1.8588035867359567,4/5,,cohort
coordinate_rotation,seed5100,identity_minus_rotated,-2.381265035852523,5/5,,cohort
coordinate_rotation,3seed_family_mean,identity_minus_rotated,-2.3069417453954206,5/5,.03125,PASS
shared_rank,fresh seed 5400,rank_slope,-0.1703986413149911,5/5,0.03125,PASS
shared_rank,fresh seed 5400,keep0,0.6148916280591166,1/5,0.9375,FAIL
shared_rank,fresh seed 5400,keep3,0.1386257534237245,3/5,0.625,FAIL
shared_rank,fresh seed 5400,keep6,-0.3039390881591444,3/5,0.28125,FAIL
shared_rank,fresh seed 5400,keep12,-1.4297555103588813,3/5,0.125,FAIL
natural_ja_en,95/5 Japanese-only,EN05_minus_ordinary_JA_gain40,-0.0008758604526519,3/8,0.6328125,FAIL
natural_ja_en,95/5 Japanese-only,EN05_minus_RU05_gain40,0.0064409673213958,7/8,0.0234375,PASS
natural_ja_en,95/5 Japanese-only,English_cp0_penalty_NLL,-0.0015116930007934,,,safety PASS
