seed,scientific_evidence,corpus_hashes_match,prior_result_seed_hits_count,student_phase0_ja_updates,student_phase1_ja_updates,T_JA_ja,T_EN_ja,T_EN_en,T_RU_ja,T_RU_ru,phase1_common_batch_digest,phase2_common_batch_digest,fixed_byte_vocab,audit_pass
31000,True,True,0,400,200,400,200,200,200,200,9300c6c8fda4d8eafc0e6b9fa96281d2778cb649b5de1d5a4f1cdb6b51057f4e,e4d31c74b19c686a681c7e9369e627d2409f349e8326f7b57c1636776219509d,256,True
31001,True,True,0,400,200,400,200,200,200,200,de555a8f945f72e903d5c34c89174e12029fa31cc42902beaaa774a16e11cc98,cb0a123c79bbc1243fd4c8cc745dc80d5d5d8fcaa1479ce47983f5084f53fdf9,256,True
31002,True,True,0,400,200,400,200,200,200,200,13c6b99781de4e023e49386b37b64ce0cbfb24e75c5b744eece36dd1ea44a0a5,0bd5d48c64c6885647d6331d288bb7423d62ee224452105b037b1a11589e099b,256,True
31003,True,True,0,400,200,400,200,200,200,200,715f4ad48f127e8fbc0df5a675dc1f1245c510a09310fc48f00da6aac825e2ad,3ede21836b3f77bf5df12207d2c271e60f04976e2106f97ff04afd1c950e8664,256,True
31004,True,True,0,400,200,400,200,200,200,200,50c5e252e575f890510d5f413b1fc0df007fe8dbfef143fc4e5332508e8df41b,019dee07ec60be5c6380d7f88331ffaf7b5d79f792c2696c2029ee9679d79e00,256,True
31005,True,True,0,400,200,400,200,200,200,200,d071b61a6081258817e08f8b3ab47db510c3d3ae915d6863d7e21a01fe089314,92b53507e16801597347594d18ad452f56847170f94eb74090707294fa25f4d7,256,True
31006,True,True,0,400,200,400,200,200,200,200,12ad6790add65e4c96e7bf3cdd4632a524e248a880f9a5ebf4550972ce8d674f,623217e57fd874283c923b859c97d2709bd29e48677561db15ca76f72aef1f85,256,True
31007,True,True,0,400,200,400,200,200,200,200,ed17212feeb960fe6123ae70f8948fe475314d79a7228857d2b6e1163c72065b,ab9016726f62f9800d26aa782cb533f63a5ac5e46ea7be180449d9fc00cfe5b7,256,True
31008,True,True,0,400,200,400,200,200,200,200,7ce791be44b7021151a29c22d607fe7996c925bff1292993ba0c370dd5fc67e5,c49caff0b248cbb6d0acd1b5eb774a2817f774c1df722709119d3bf31f2013af,256,True
31009,True,True,0,400,200,400,200,200,200,200,a947e00021b63c3e1fdf5c9c363061220f0525182ebcf89841e17f489a32c96d,9f2c0caf0dcee3dd13be51806aabcac8be3d5b18663fd0f410f5f913112ddf8c,256,True
