seed,original_audit_pass,observed_actual_batch_audit_pass,updates,phase1_batch_sha256,phase2_batch_sha256,source_commit,core_git_blob,wrapper_git_blob
32000,True,True,5400,2826f2d9b9ea75212566101af80db42ddfd101c0e1509124936064d876cd2165,ec9b500afda843e49046efae6c2b0275d37bd9bfedf4be8a35b1e45188e094c5,efbcc3f2fe5e809f539a95eff3d120c21ec98826,aab161824538e29f71f2a5f00fd44364f2de9bd4,9dcc9f5a4c4c76ed62e173ffb99b9f911de84996
32001,True,True,5400,666b7b3511e8bb82b1af5677e3597be6bf8e4e3c6773e2572128ae0c115e02d6,7d65bfd2cfe3dd2650d062482b0b5bdc28d2cc2c5d6f3530a40c64e4c3a05cd1,efbcc3f2fe5e809f539a95eff3d120c21ec98826,aab161824538e29f71f2a5f00fd44364f2de9bd4,9dcc9f5a4c4c76ed62e173ffb99b9f911de84996
32002,True,True,5400,26f3c3af1ca632ef6ebe0b881e5b0a1b7f41ab7878fab3541d0345c22e3fddb5,8d8c31ce5c7dd45a0a978b3b605c819376eb17f57653da330021a11db2b4fc6d,efbcc3f2fe5e809f539a95eff3d120c21ec98826,aab161824538e29f71f2a5f00fd44364f2de9bd4,9dcc9f5a4c4c76ed62e173ffb99b9f911de84996
32003,True,True,5400,4e44d2e7994a3536c860611f071ac87e5015cea834cdc0fe1412929a02ae6e02,83033699a0754ffa7618a2227cca9e5b4105b7bcf5c499aadf7486b714313ffb,efbcc3f2fe5e809f539a95eff3d120c21ec98826,aab161824538e29f71f2a5f00fd44364f2de9bd4,9dcc9f5a4c4c76ed62e173ffb99b9f911de84996
32004,True,True,5400,f29b6a39fec5e72d8f0d5e1a206e6cb9bdfd748192e11b8dfa8e0f32b05fe61c,aa602b016b3fb194d812db6b7f469721b8c6421e2cbf5a5ef26fbabc8111691b,efbcc3f2fe5e809f539a95eff3d120c21ec98826,aab161824538e29f71f2a5f00fd44364f2de9bd4,9dcc9f5a4c4c76ed62e173ffb99b9f911de84996
32005,True,True,5400,f50aafcf15489bf480f22b02f7834ed3854e32ea4fde0e3ccb393baf859c2ff1,70e5fb3a8977dba9974af1476c6be173c10b46130b8207f4c0da198372f4197e,efbcc3f2fe5e809f539a95eff3d120c21ec98826,aab161824538e29f71f2a5f00fd44364f2de9bd4,9dcc9f5a4c4c76ed62e173ffb99b9f911de84996
32006,True,True,5400,809f5bc6b88478c544f65a3c1f9f873c7e09539483e198d5bc476b1cd474ba97,68f1e81def34005b7b25cf5d991c561a60f2a991ef7a401bcf51b3eacc56082a,efbcc3f2fe5e809f539a95eff3d120c21ec98826,aab161824538e29f71f2a5f00fd44364f2de9bd4,9dcc9f5a4c4c76ed62e173ffb99b9f911de84996
32007,True,True,5400,31a7197b8ad1cecbfc4d5864570e60fa341357e82c66bdd238b04ba0f7a70068,533bd2fad0bb57604911a2ad93aa9665c4b2820cb974b6483df73903dc6229c2,efbcc3f2fe5e809f539a95eff3d120c21ec98826,aab161824538e29f71f2a5f00fd44364f2de9bd4,9dcc9f5a4c4c76ed62e173ffb99b9f911de84996
32008,True,True,5400,9ebd050e166c1302cedb5b6a30421a6eac859a5f7abd278265ad4716f56b023e,8d5bbdcd8f53ff309206fccd7153db43c33dd6096eccc28a9d6218b6acadb96f,efbcc3f2fe5e809f539a95eff3d120c21ec98826,aab161824538e29f71f2a5f00fd44364f2de9bd4,9dcc9f5a4c4c76ed62e173ffb99b9f911de84996
32009,True,True,5400,5e6f9e09b6f3d932c1eab66a5d8bc3ab54e91e85216eeb0b6235179deb76abc7,a91101ee8f80ec1f84cb37e1ca8d120f5c95f3c0bab0c289df3ab6e79643a8d1,efbcc3f2fe5e809f539a95eff3d120c21ec98826,aab161824538e29f71f2a5f00fd44364f2de9bd4,9dcc9f5a4c4c76ed62e173ffb99b9f911de84996
