seed,hidden_width,family,rank_slope,effect_keep0,effect_keep3,effect_keep6,effect_keep12
5400,32,0,-0.280606305,0.643003126,0.657122921,-1.954096232,-2.337463904
5400,32,1,-0.272683329,0.342276606,-1.327617610,0.009541875,-3.358689773
5400,32,2,-0.245711234,-0.223498280,-0.950252073,-0.945957420,-3.252107374
5400,32,3,-0.217290585,2.770449350,1.088471131,-0.929714119,0.085862395
5400,32,4,-0.369245601,1.025895438,1.861128605,-1.095936958,-2.767799698
5400,64,0,-0.120818481,-0.036209219,-0.332101658,-0.034669830,-1.544560021
5400,64,1,-0.444126562,0.816126869,-0.742372182,-1.636831297,-4.612298458
5400,64,2,-0.111877218,0.008875995,-0.408259035,-0.609731300,-1.366669075
5400,64,3,-0.053603332,0.897690474,0.585334748,0.406516062,0.222774629
5400,64,4,-0.121569113,1.387886117,1.590548967,0.354987431,0.151900604
5400,128,0,-0.102117243,-0.021190130,-0.510214701,-0.627134975,-1.308238947
5400,128,1,-0.386561352,0.896762161,-1.204268771,-0.157084059,-4.196369898
5400,128,2,-0.323880983,-0.267564454,0.466169503,-1.094099666,-3.709760688
5400,128,3,-0.073486412,0.913520315,0.351780012,0.356381343,-0.069163599
5400,128,4,-0.118933605,-0.178582630,0.162261746,-0.904093320,-1.371914266
5500,32,0,-0.192033504,-1.298686071,-0.155015731,-0.577504448,-3.237984794
5500,32,1,-0.190980487,1.011731434,0.867679957,-0.690509745,-1.075253503
5500,32,2,-0.125540871,-1.198117986,-1.463586304,-1.763215312,-2.688462333
5500,32,3,0.205958067,-2.353695411,-0.808909290,-1.173014455,0.432890644
5500,32,4,-0.274053768,0.022810191,-0.812453535,-1.226504321,-3.314092286
5500,48,0,-0.130274079,-0.366510762,0.416875687,-1.266202242,-1.525280477
5500,48,1,-0.432047367,-0.546573040,0.442007160,-1.470764704,-5.154910957
5500,48,2,-0.215508085,0.687447222,0.494660419,0.046955329,-1.819910275
5500,48,3,-0.161654430,0.403333965,-0.762072834,-0.552844896,-1.764861223
5500,48,4,-0.082781930,-0.599049289,-0.205987114,-1.409818011,-1.343732336
5500,64,0,-0.354821250,1.381251013,-0.161944879,-0.705872371,-3.040826275
5500,64,1,-0.381164488,-0.174617468,-1.344175361,-1.054881232,-4.913582041
5500,64,2,-0.071535496,-0.011874518,0.342752315,0.415545614,-0.775737488
5500,64,3,-0.205700638,0.731442164,0.286269318,0.057297081,-1.741884550
5500,64,4,-0.152100571,0.225874278,-0.133457174,-0.101511565,-1.632033333
5500,96,0,-0.055945322,0.649890426,0.188936853,-0.737690369,-0.002280544
5500,96,1,-0.123875015,0.399049804,-0.152783895,-0.329264220,-1.149179495
5500,96,2,-0.159393079,0.030084590,-0.845906796,-1.471412929,-1.954665403
5500,96,3,-0.075458251,-0.210865908,-0.303275294,-1.335301422,-0.997078015
5500,96,4,-0.250683583,0.931235142,0.109684315,-0.277732419,-2.132927206
5500,128,0,-0.046805719,-0.075717490,-0.384491565,-0.837172694,-0.640102767
5500,128,1,-0.107803842,0.111869055,-0.361437245,-0.570350831,-1.227808991
5500,128,2,-0.227123249,0.819227022,0.873196011,-0.491689873,-1.666897123
5500,128,3,-0.189983959,0.650475651,0.179708645,0.052592058,-1.656494692
5500,128,4,-0.137330307,-0.048864428,-1.319693410,-1.091352131,-1.958829033
5600,32,0,-0.331153881,0.315518374,1.344587298,-0.402640197,-3.125125194
5600,32,1,-0.250155955,0.117492739,0.961300719,-2.585244599,-2.219419926
5600,32,2,-0.387291733,0.181860651,-2.740298548,-2.805899526,-4.978622619
5600,32,3,-0.256053310,1.640405074,-0.855083073,-0.117588115,-1.983380354
5600,32,4,0.026342458,-1.344603801,-1.050874348,-0.725747445,-1.008127128
5600,48,0,-0.285482416,1.498353581,0.859281425,-0.183907269,-1.858380784
5600,48,1,-0.202484415,-0.341713449,1.683533262,-0.550484511,-2.005752597
5600,48,2,-0.300070641,0.967977064,-1.065405120,0.649439486,-3.175248078
5600,48,3,-0.244896297,0.581506656,0.367886231,-0.407824785,-2.236897904
5600,48,4,-0.117729249,0.370990386,0.959493501,-0.334798823,-0.727928794
