seed,hidden_width,mean_rank_slope,median_rank_slope,n_negative,n_families,one_sided_sign_p,min_rank_slope,max_rank_slope
5400,32,-0.277107411,-0.272683329,5,5,0.031250000,-0.369245601,-0.217290585
5400,64,-0.170398941,-0.120818481,5,5,0.031250000,-0.444126562,-0.053603332
5400,128,-0.200995919,-0.118933605,5,5,0.031250000,-0.386561352,-0.073486412
5500,32,-0.115330113,-0.190980487,4,5,0.187500000,-0.274053768,0.205958067
5500,48,-0.204453178,-0.161654430,5,5,0.031250000,-0.432047367,-0.082781930
5500,64,-0.233064489,-0.205700638,5,5,0.031250000,-0.381164488,-0.071535496
5500,96,-0.133071050,-0.123875015,5,5,0.031250000,-0.250683583,-0.055945322
5500,128,-0.141809415,-0.137330307,5,5,0.031250000,-0.227123249,-0.046805719
5600,32,-0.239662484,-0.256053310,4,5,0.187500000,-0.387291733,0.026342458
5600,48,-0.230132604,-0.244896297,5,5,0.031250000,-0.300070641,-0.117729249
