experiment,contrast,effect,n_expected,p_exact,status
gradient_subspace_rho0125,relevant,-2.4351170414323446,5,0.03125,PASS
gradient_subspace_rho0125,irrelevant,-2.265450922042085,5,0.03125,PASS
gradient_subspace_rho0125,relevant_minus_irrelevant,-0.1696661193902599,4,0.21875,FAIL
orthogonal_state_rotation_rho025_3seed,identity_minus_rotated_3seed_familymean,-2.3069417453954206,5,0.03125,PASS
partial_top_state_span_rho025,0,0.032173016672823,2,0.6875,FAIL
partial_top_state_span_rho025,6,-1.331620639075079,5,0.03125,PASS
partial_top_state_span_rho025,12,-2.226247062548582,5,0.03125,PASS
partial_top_state_span_rho025,k6_minus_k0,-1.3637936557479022,5,0.03125,PASS
partial_top_state_span_rho025,k12_minus_k6,-0.8946264234735033,4,0.09375,FAIL
top_vs_bottom6_state_span_rho025,top6,-0.4921244168667087,5,0.03125,PASS
top_vs_bottom6_state_span_rho025,bottom6,-0.8432081484201313,5,0.03125,PASS
top_vs_bottom6_state_span_rho025,top_minus_bottom,0.3510837315534225,1,0.9375,FAIL
random_rank_state_alignment_rho025,rank_slope,-0.1703986413149911,5,0.03125,PASS
random_rank_state_alignment_rho025,keep0,0.6148916280591166,1,0.9375,FAIL
random_rank_state_alignment_rho025,keep3,0.1386257534237245,3,0.625,FAIL
random_rank_state_alignment_rho025,keep6,-0.3039390881591444,3,0.28125,FAIL
random_rank_state_alignment_rho025,keep12,-1.4297555103588813,3,0.125,FAIL
