map_a,map_b,outcome,component,rho,p_edge_descriptive,MAE
natural,bg0,Cspec,raw,0.8166852057842046,3.7165684629364216e-08,0.0025152317351765114
natural,bg0,Cspec,residual,0.7112347052280311,1.0549532521816738e-05,0.0016291889299949178
natural,bg0,Cabs,raw,0.8327030033370411,1.1479465111069957e-08,0.0025861200359132536
natural,bg0,Cabs,residual,0.7481646273637375,2.0022150236609907e-06,0.0011663034903230363
natural,bg1,Cspec,raw,0.8371523915461624,8.10333238513689e-09,0.0037871101457212213
natural,bg1,Cspec,residual,0.6787541713014461,3.738432492445415e-05,0.0018198207338099297
natural,bg1,Cabs,raw,0.671635150166852,4.832008813856974e-05,0.004710651603009974
natural,bg1,Cabs,residual,0.6164627363737486,0.0002861701088317437,0.0015151741810970833
natural,uni0,Cspec,raw,0.450055617352614,0.01257879195299962,0.004322389637430474
natural,uni0,Cspec,residual,0.22402669632925473,0.23400488406662495,0.002279892425501227
natural,uni0,Cabs,raw,0.06740823136818688,0.7233952866667434,0.005047784911261601
natural,uni0,Cabs,residual,0.2774193548387097,0.13774691310013953,0.0018199789165346612
natural,uni1,Cspec,raw,0.560845383759733,0.001264434305661331,0.0037210052005118214
natural,uni1,Cspec,residual,0.5038932146829811,0.004525725461200766,0.0019314841419044528
natural,uni1,Cabs,raw,0.5919911012235817,0.0005687977711749577,0.0033449969357914134
natural,uni1,Cabs,residual,0.3890989988876529,0.033571292735466086,0.001653918451457114
bg0,bg1,Cspec,raw,0.9283648498331479,1.4753282124979799e-13,0.002484761613110738
bg0,bg1,Cspec,residual,0.7615127919911011,1.02273848062611e-06,0.001275283075455158
bg0,bg1,Cabs,raw,0.8789766407119021,1.6649723786562427e-10,0.0031264719035890417
bg0,bg1,Cabs,residual,0.8255839822024471,1.9634656465758834e-08,0.0009805298651810114
uni0,uni1,Cspec,raw,0.4540600667408231,0.011720616145721324,0.0017655848421984188
uni0,uni1,Cspec,residual,0.27608453837597335,0.13972928052208497,0.0015280702979200201
uni0,uni1,Cabs,raw,0.3757508342602892,0.040727391136851955,0.0023697411020596284
uni0,uni1,Cabs,residual,0.4567296996662959,0.01117620193922782,0.0011518080408374287
