metric,median,lo95,hi95,prob_positive,min,max
rho_N_BG0_raw,0.778865406006674,0.6489432703003337,0.8340378197997775,1.0,0.5328142380422692,0.8340378197997775
rho_N_BG1_raw,0.7815350389321468,0.6173526140155728,0.8380422691879867,1.0,0.48476084538375974,0.8380422691879867
rho_N_UNI0_raw,0.450055617352614,0.0896551724137931,0.6409343715239153,1.0,0.0046718576195773085,0.6409343715239153
rho_N_UNI1_raw,0.5141268075639599,-0.04471635150166852,0.6422691879866518,0.95703125,-0.11635150166852058,0.6422691879866518
rho_BG0_BG1_raw,0.8847608453837598,0.7317018909899888,0.935483870967742,1.0,0.6373748609566184,0.935483870967742
rho_UNI0_UNI1_raw,0.44249165739710794,0.16484983314794216,0.6258064516129032,1.0,0.08832035595105672,0.7045606229143493
delta_BG0_minus_UNI0_raw,0.36440489432703,0.056952169076751824,0.6923248053392659,1.0,0.024026696329254693,0.7759733036707452
delta_BG1_minus_UNI1_raw,0.2932146829810901,0.1566184649610678,0.6834260289210233,1.0,0.11523915461624024,0.7096774193548387
delta_repro_BG_minus_UNI_raw,0.44315906562847607,0.11701890989988883,0.6723025583982203,1.0,0.00711902113459395,0.7301446051167965
rho_N_BG0_residual,0.5846496106785317,0.2649610678531702,0.7112347052280311,1.0,0.11724137931034483,0.7112347052280311
rho_N_BG1_residual,0.5132369299221358,0.16840934371523916,0.7330367074527252,0.99609375,-0.11234705228031144,0.7330367074527252
rho_N_UNI0_residual,0.22714126807563956,-0.2324805339265851,0.6080088987764182,0.76171875,-0.3561735261401557,0.6400444938820912
rho_N_UNI1_residual,0.4255839822024471,-0.16751946607341492,0.6921023359288097,0.828125,-0.17152391546162402,0.7058954393770857
rho_BG0_BG1_residual,0.646718576195773,0.17775305895439378,0.7615127919911011,1.0,0.05005561735261402,0.7615127919911011
rho_UNI0_UNI1_residual,0.2996662958843159,0.12880978865406006,0.6404894327030033,1.0,0.03848720800889878,0.6809788654060066
delta_BG0_minus_UNI0_residual,0.3755283648498332,-0.0903225806451613,0.7902113459399333,0.890625,-0.2411568409343715,0.8689655172413793
delta_BG1_minus_UNI1_residual,0.14193548387096777,-0.13971078976640694,0.5664071190211346,0.8046875,-0.16907675194660732,0.6638487208008899
delta_repro_BG_minus_UNI_residual,0.2771968854282535,-0.27808676307007774,0.5183537263626252,0.8828125,-0.603337041156841,0.5183537263626252
