split,lang,u0_unigram_equal_nat,u1_unigram_equal_nat,u0_outdegree_equal_nat,u0_indegree_equal_nat,u1_outdegree_equal_nat,u1_indegree_equal_nat
REF,de,True,True,True,True,True,True
REF,en,True,True,True,True,True,True
REF,ja,True,True,True,True,True,True
REF,ru,True,True,True,True,True,True
REF,es,True,True,True,True,True,True
REF,it,True,True,True,True,True,True
TR,de,True,True,True,True,True,True
TR,en,True,True,True,True,True,True
TR,ja,True,True,True,True,True,True
TR,ru,True,True,True,True,True,True
TR,es,True,True,True,True,True,True
TR,it,True,True,True,True,True,True
TE,de,True,True,True,True,True,True
TE,en,True,True,True,True,True,True
TE,ja,True,True,True,True,True,True
TE,ru,True,True,True,True,True,True
TE,es,True,True,True,True,True,True
TE,it,True,True,True,True,True,True
